refcode,chemical_name,color,doi,authors,journal,first_page,volume,date,simplified_color
ABETAE,"catena-(Pentane-1,5-diammonium tetrakis(μ5-phosphato)-aqua-decaoxo-penta-uranium)",colorless,10.1021/ic200345j,"L.Jouffret, M.Rivenet, F.Abraham",Inorganic Chemistry,4619,50,2011-11-29,colorless
ABIYIV,"catena-(bis((μ3-Imidazole-5,6-dicarboxylato)-(4,4'-bipyridine)-(pyridine))-di-cobalt heptahydrate)",pink,,"Li Yuan, Wen-Guan Lu",Jiegou Huaxue,1207,30,2012-01-09,pink
ACAJOF,"catena-[bis(μ4-Glutarato)-(μ3-1,3-bis(4-pyridyl)propane)-copper acetone solvate]",blue,10.1039/c2dt31427d,"In Hong Hwang, Jeong Mi Bae, Wan-Seok Kim, Young Dan Jo, Cheal Kim, Youngmee Kim, Sung-Jin Kim, Seong Huh",Dalton Transactions,12759,41,2013-02-22,blue
ACAKUM,"catena-[bis(μ4-5,5'-(1H-1,2,3-Triazole-1,4-diyl)diisophthalato)-octaaqua-di-lanthanum pentahydrate]",colorless,10.1039/c2dt31717f,"Libo Sun, Yi Li, Zhiqiang Liang, Jihong Yu, Ruren Xu",Dalton Transactions,12790,41,2013-02-22,colorless
ACIBIY,catena-(bis(Hexatriacontakis(μ3-formato)-octadeca-cobalt(ii)) hexahydrate),pink,10.1016/j.micromeso.2005.11.049,"Jianghua He, Yuetao Zhang, Qinhe Pan, Jihong Yu, Hong Ding, Ruren Xu",Microporous and Mesoporous Materials,145,90,2006-07-27,pink
ACMPCD,catena(Aqua-(μ5-5'-cytidine-monophosphate)-cadmium(ii) sesquihydrate),,10.1021/ic50190a033,"J.K.Shiba, R.Bau",Inorganic Chemistry,3484,17,1979-05-11,
ACOCUS,"catena-[(μ8-9,9'-Biphenyl-4,4'-diylbis(9H-carbazole-3,6-dicarboxylato))-diaqua-di-zinc(ii) N-methyl-2-pyrrolidone solvate]",colorless,10.1039/c2cc34840c,"U.Stoeck, S.Krause, V.Bon, I.Senkovska, S.Kaskel",Chemical Communications,10841,48,2012-11-29,colorless
JITQEI,"catena-(bis(μ2-1,2-bis(4-Pyridyl)ethyne)-di-aqua-copper(ii) bis(bis(μ2-1,2-bis(4-pyridyl)ethyne)-aqua-nitrato-copper(ii)) (1,2-bis(4-pyridyl)ethyne) tetranitrate hydrate)",blue,10.1039/a803662d,"L.Carlucci, G.Ciani, P.Macchi, D.M.Proserpio",Chemical Communications,1837,,1999-07-06,blue
JIVHIG,"catena-((μ3-Aqua)-hexakis(μ3-2-isopropylphenoxido)-tris(μ2-1,4-dioxane)-bis(1,4-dioxane)-hexa-potassium 1,4-dioxane clathrate)",colorless,10.1021/ic7018082,"J.J.Morris, B.C.Noll, A.J.Schultz, P.M.B.Piccoli, K.W.Henderson",Inorganic Chemistry,10473,46,2008-05-15,colorless
JIWKUW,"catena-[(μ5-N,N'-(2-oxy-5-methyl-1,3-xylylene)bis(N-(carboxymethyl)glycinato))-bis(μ4-N,N'-(2-oxy-5-methyl-1,3-xylylene)bis(N-(carboxymethyl)glycinato))-(μ3-N,N'-(2-oxy-5-methyl-1,3-xylylene)bis(N-(carboxymethyl)glycinato))-tetrakis(μ2-aqua)-hepta-aqua-tetra-sodium-tetra-terbium(iii) hydrate]",colorless,10.1021/ic701366f,"L.S.Natrajan, P.L.Timmins, M.Lunn, S.L.Heath",Inorganic Chemistry,10877,46,2008-05-15,colorless
JIZJAF,"catena-[bis(μ3-4-(pyridin-4-yl)benzoato)-bis(μ3-2-oxypropanoato)-tri-cobalt N,N-dimethylformamide solvate]",,10.1021/ja500191r,"Ming-Hua Zeng, Zheng Yin, Yan-Xi Tan, Wei-Xiong Zhang, Yan-Ping He, M.Kurmoo",Journal of the American Chemical Society,4680,136,2014-05-16,
JIZJOT,catena-[bis(μ3-4-(pyridin-4-yl)benzoato)-bis(μ3-2-oxypropanoato)-tri-cobalt propan-1-ol solvate],,10.1021/ja500191r,"Ming-Hua Zeng, Zheng Yin, Yan-Xi Tan, Wei-Xiong Zhang, Yan-Ping He, M.Kurmoo",Journal of the American Chemical Society,4680,136,2014-05-16,
JIZWEW,"catena-[bis(μ4-cyclohexane-1,4-dicarboxylato)-di-aluminium m-xylene solvate]",white,10.1021/ic500288w,"F.Niekiel, J.Lannoeye, H.Reinsch, A.S.Munn, A.Heerwig, Ivo Zizak, S.Kaskel, R.I.Walton, Dirk de Vos, P.Llewellyn, A.Lieb, G.Maurin, N.Stock",Inorganic Chemistry,4610,53,2014-05-16,colorless
JODFOZ,"catena-[bis(μ2-4-(2-(pyridin-4-yl)vinyl)benzoato)-cobalt N,N-dimethylformamide solvate]",red,10.1021/ja500005k,"S.K.Elsaidi, M.H.Mohamed, L.Wojtas, A.Chanthapally, Tony Pham, B.Space, J.J.Vittal, M.J.Zaworotko",Journal of the American Chemical Society,5072,136,2014-05-19,red
JOFKIA01,"catena-[(μ-3-amino-1,2,4-triazolyl-5-carboxylato)-aqua-copper monohydrate]",blue,,YuHui Tan,CSD Communication,,,2015-08-08,blue
