color_string,hex,starttime,time_stamp
pale green,#05491e,2020-02-10 16:10:09.000000,2020-02-10 16:10:17.358811
pale blue,#759eea,2020-02-10 16:10:17.000000,2020-02-10 16:10:25.771700
amaranthine,#cc380b,2020-02-10 16:10:25.000000,2020-02-10 16:10:45.384875
magenta,#bd18ca,2020-02-10 16:10:45.000000,2020-02-10 16:11:01.010912
dark brown,#732e02,2020-02-10 16:11:01.000000,2020-02-10 16:11:13.608265
deep green,#72a46a,2020-02-10 16:31:19.000000,2020-02-10 16:31:29.319447
violet-red,#6d0630,2020-02-10 16:31:29.000000,2020-02-10 16:31:35.639676
dark blue,#0f1ae7,2020-02-10 16:31:35.000000,2020-02-10 16:31:39.918851
yellow-red,#e48f1a,2020-02-10 16:31:39.000000,2020-02-10 16:31:54.417014
rose,#dc6191,2020-02-10 16:31:54.000000,2020-02-10 16:32:03.856635
ruby red,#f4061a,2020-02-10 16:39:21.000000,2020-02-10 16:39:27.877807
light violet,#8c27e3,2020-02-10 16:39:27.000000,2020-02-10 16:39:35.415065
red-brown,#e14806,2020-02-10 16:39:35.000000,2020-02-10 16:39:41.564132
deep yellow,#ebf308,2020-02-10 16:39:41.000000,2020-02-10 16:39:49.560840
pale pink,#ef93e6,2020-02-10 16:39:49.000000,2020-02-10 16:39:55.484771
yellowish white,#e9e7ca,2020-02-10 16:52:13.000000,2020-02-10 16:52:36.284279
black-brown,#211502,2020-02-10 16:52:36.000000,2020-02-10 16:52:58.609903
bright yellow,#ecec0a,2020-02-10 16:52:58.000000,2020-02-10 16:53:18.546463
jasmine,#555356,2020-02-10 16:53:18.000000,2020-02-10 16:53:40.118959
slightly pink,#ea77e0,2020-02-10 16:53:40.000000,2020-02-10 16:53:55.025748
bright yellow,#faed7d,2020-02-10 16:53:40.000000,2020-02-10 16:54:04.048199
pink/purple,#eb0ee0,2020-02-10 16:54:04.000000,2020-02-10 16:54:20.605365
red,#fc0106,2020-02-10 16:54:20.000000,2020-02-10 16:54:36.160360
light,#0f0c10,2020-02-10 16:54:33.000000,2020-02-10 16:54:39.026534
pale purple,#F66F93,2020-02-10 16:54:39.000000,2020-02-10 16:54:51.558901
yellow-green,#9ec327,2020-02-10 16:54:36.000000,2020-02-10 16:54:53.112199
brown yellow,#a35d02,2020-02-10 16:53:48.000000,2020-02-10 16:55:01.316959
lilac,#b974be,2020-02-10 16:54:51.000000,2020-02-10 16:55:01.458842
cyan,#74f3f5,2020-02-10 16:55:01.000000,2020-02-10 16:55:10.188998
deep red,#ff0005,2020-02-10 16:54:53.000000,2020-02-10 16:55:17.382448
orange-red,#d56c2d,2020-02-10 16:55:01.000000,2020-02-10 16:55:40.305359
purple-red,#c50aa1,2020-02-10 16:55:10.000000,2020-02-10 16:55:43.810902
yellowish white,#fefef3,2020-02-10 16:55:40.000000,2020-02-10 16:55:56.229036
yellowish yellow,#f9e97b,2020-02-10 16:55:43.000000,2020-02-10 16:56:06.649339
black purple,#320352,2020-02-10 16:56:06.000000,2020-02-10 16:56:14.638676
dark purple,#5b0d66,2020-02-10 16:56:11.000000,2020-02-10 16:57:11.617619
yellowish,#dad236,2020-02-10 16:57:11.000000,2020-02-10 16:57:34.304612
reddish brown,#b44547,2020-02-10 16:57:34.000000,2020-02-10 16:58:18.651716
blackish purple,#2f154f,2020-02-10 16:58:18.000000,2020-02-10 16:58:40.916945
light-purple,#b6548b,2020-02-10 16:58:40.000000,2020-02-10 16:59:00.146500
