color_string,hex,starttime,time_stamp,delta_t,delta_t_seconds,r,g,b,clean_name
pale green,#05491e,2020-02-10 16:10:09.000000,2020-02-10 16:10:17.358811,0 days 00:00:08.358811000,8.358811,5,73,30,pale green
pale blue,#759eea,2020-02-10 16:10:17.000000,2020-02-10 16:10:25.771700,0 days 00:00:08.771700000,8.7717,117,158,234,pale blue
amaranthine,#cc380b,2020-02-10 16:10:25.000000,2020-02-10 16:10:45.384875,0 days 00:00:20.384875000,20.384875,204,56,11,amaranthine
magenta,#bd18ca,2020-02-10 16:10:45.000000,2020-02-10 16:11:01.010912,0 days 00:00:16.010912000,16.010912,189,24,202,magenta
dark brown,#732e02,2020-02-10 16:11:01.000000,2020-02-10 16:11:13.608265,0 days 00:00:12.608265000,12.608265,115,46,2,dark brown
deep green,#72a46a,2020-02-10 16:31:19.000000,2020-02-10 16:31:29.319447,0 days 00:00:10.319447000,10.319447,114,164,106,deep green
violet-red,#6d0630,2020-02-10 16:31:29.000000,2020-02-10 16:31:35.639676,0 days 00:00:06.639676000,6.639676,109,6,48,violet red
dark blue,#0f1ae7,2020-02-10 16:31:35.000000,2020-02-10 16:31:39.918851,0 days 00:00:04.918851000,4.918851,15,26,231,dark blue
yellow-red,#e48f1a,2020-02-10 16:31:39.000000,2020-02-10 16:31:54.417014,0 days 00:00:15.417014000,15.417014,228,143,26,yellow red
rose,#dc6191,2020-02-10 16:31:54.000000,2020-02-10 16:32:03.856635,0 days 00:00:09.856635000,9.856635,220,97,145,rose
ruby red,#f4061a,2020-02-10 16:39:21.000000,2020-02-10 16:39:27.877807,0 days 00:00:06.877807000,6.877807,244,6,26,ruby red
light violet,#8c27e3,2020-02-10 16:39:27.000000,2020-02-10 16:39:35.415065,0 days 00:00:08.415065000,8.415065,140,39,227,light violet
red-brown,#e14806,2020-02-10 16:39:35.000000,2020-02-10 16:39:41.564132,0 days 00:00:06.564132000,6.564132,225,72,6,red brown
deep yellow,#ebf308,2020-02-10 16:39:41.000000,2020-02-10 16:39:49.560840,0 days 00:00:08.560840000,8.56084,235,243,8,deep yellow
pale pink,#ef93e6,2020-02-10 16:39:49.000000,2020-02-10 16:39:55.484771,0 days 00:00:06.484771000,6.484771,239,147,230,pale pink
yellowish white,#e9e7ca,2020-02-10 16:52:13.000000,2020-02-10 16:52:36.284279,0 days 00:00:23.284279000,23.284279,233,231,202,yellowish white
black-brown,#211502,2020-02-10 16:52:36.000000,2020-02-10 16:52:58.609903,0 days 00:00:22.609903000,22.609903,33,21,2,black brown
bright yellow,#ecec0a,2020-02-10 16:52:58.000000,2020-02-10 16:53:18.546463,0 days 00:00:20.546463000,20.546463,236,236,10,bright yellow
jasmine,#555356,2020-02-10 16:53:18.000000,2020-02-10 16:53:40.118959,0 days 00:00:22.118959000,22.118959,85,83,86,jasmine
slightly pink,#ea77e0,2020-02-10 16:53:40.000000,2020-02-10 16:53:55.025748,0 days 00:00:15.025748000,15.025748,234,119,224,slightly pink
bright yellow,#faed7d,2020-02-10 16:53:40.000000,2020-02-10 16:54:04.048199,0 days 00:00:24.048199000,24.048199,250,237,125,bright yellow
pink/purple,#eb0ee0,2020-02-10 16:54:04.000000,2020-02-10 16:54:20.605365,0 days 00:00:16.605365000,16.605365,235,14,224,pink/purple
red,#fc0106,2020-02-10 16:54:20.000000,2020-02-10 16:54:36.160360,0 days 00:00:16.160360000,16.16036,252,1,6,red
light,#0f0c10,2020-02-10 16:54:33.000000,2020-02-10 16:54:39.026534,0 days 00:00:06.026534000,6.026534,15,12,16,light
pale purple,#F66F93,2020-02-10 16:54:39.000000,2020-02-10 16:54:51.558901,0 days 00:00:12.558901000,12.558901,246,111,147,pale purple
yellow-green,#9ec327,2020-02-10 16:54:36.000000,2020-02-10 16:54:53.112199,0 days 00:00:17.112199000,17.112199,158,195,39,yellow green
brown yellow,#a35d02,2020-02-10 16:53:48.000000,2020-02-10 16:55:01.316959,0 days 00:01:13.316959000,73.316959,163,93,2,brown yellow
