color_string,delta_t_seconds,r,g,b
amaranthine,37.5288470625,178.125,62.8125,121.375
amber,40.2985685806,209.096774194,142.741935484,37.6774193548
aquamarine,28.9416414783,62.5217391304,173.434782609,188.739130435
aubergine,31.5829246875,68.625,27.84375,99.9375
azure,27.3106459583,58.5833333333,152.083333333,206.458333333
beige,25.0045975455,219.090909091,198.409090909,153.818181818
black,20.8237358261,5.39130434783,5.65217391304,5.78260869565
black brown,45.628575,62.0,41.35,22.15
black green,19.85105225,23.0357142857,55.7142857143,24.7142857143
black purple,25.9837422414,62.7931034483,26.3103448276,90.7931034483
black red,31.4618552963,115.888888889,19.6296296296,18.7777777778
black-brown,23.0143692692,65.7307692308,50.3076923077,34.6538461538
blackish purple,26.7952881034,66.8275862069,18.3448275862,83.8275862069
blue,35.8502162,16.4,48.52,207.6
blue green,38.60691872,42.4,194.56,173.72
blue violet,28.2398755909,92.0,60.6363636364,187.454545455
bluish violet,32.6520694737,102.052631579,47.9473684211,217.421052632
bright yellow,25.5525691667,233.083333333,223.166666667,32.1666666667
brown,27.2073243704,96.2592592593,56.1851851852,16.8518518519
brown orange,100.601801389,191.222222222,105.5,19.5555555556
brown yellow,52.3771686774,170.419354839,128.838709677,32.3225806452
brown-red,33.3690793333,121.466666667,37.6,24.4666666667
brown-yellow,25.6264404762,182.80952381,141.666666667,34.5238095238
buff,71.7977586667,161.333333333,127.5,101.458333333
cherry red,30.8168076207,186.586206897,20.6206896552,34.2413793103
claybank,42.8017648966,150.206896552,142.793103448,95.0
colorless,38.096023303,188.454545455,177.333333333,194.03030303
courless,57.90225184,189.96,162.32,164.28
crimson,30.5795880476,156.523809524,53.8095238095,79.380952381
cyan,21.7501368696,55.7391304348,209.347826087,222.47826087
dark blue,18.1759108276,14.0689655172,15.4827586207,112.172413793
dark brown,21.2299869565,76.347826087,39.8260869565,19.8260869565
dark green,18.9416569565,19.1739130435,86.652173913,23.0434782609
dark orange,29.7312400833,197.083333333,84.125,10.875
dark pink,20.7594452105,163.210526316,34.4736842105,123.578947368
dark purple,16.8354904,80.4,18.88,118.4
dark purplish-red,36.14130996,153.64,39.6,81.28
dark red,21.2473159091,123.545454545,15.3636363636,10.0909090909
dark rose,30.8504378929,154.892857143,57.8571428571,114.285714286
dark turquiose,25.8666777143,42.6666666667,124.238095238,138.666666667
dark violet,26.3963450357,76.6428571429,20.25,117.142857143
dark yellow,27.55926275,181.083333333,163.611111111,22.2777777778
dark-blue,53.8015673438,17.4375,18.21875,118.09375
dark-red,28.7876193333,135.393939394,16.0606060606,16.0303030303
dark-violet,18.5461951852,83.962962963,13.4814814815,121.703703704
deep blue,21.8923633704,20.037037037,17.0,170.814814815
deep blue-black,26.3167034286,13.8095238095,20.0,77.6666666667
deep brown,67.2714712059,81.3823529412,48.3235294118,20.2058823529
deep green,31.1389659583,41.375,141.666666667,52.625
deep purple,15.60857805,94.0,8.15,136.2
deep red,35.91096888,184.56,8.84,8.84
deep yellow,30.8947066538,232.0,213.307692308,17.4615384615
deep-blue,33.8542967241,17.6896551724,28.8965517241,156.310344828
dull dark black,40.4191069375,27.03125,18.90625,26.71875
faint pink,21.3878695,226.961538462,191.269230769,210.961538462
flavescens,45.87342784,202.36,178.52,86.56
glaucous,33.3047720476,122.857142857,136.666666667,157.19047619
gold,46.4201712273,224.045454545,190.545454545,34.2727272727
golden yellow,24.2511335937,229.40625,193.03125,37.375
grass green,37.3913886667,47.2666666667,160.333333333,37.0333333333
gray,25.5575420909,141.0,138.0,140.318181818
green,16.4941474516,33.3225806452,188.516129032,26.7741935484
green blue,57.1035037647,65.2941176471,178.735294118,163.117647059
green yellow,58.3525047895,196.210526316,218.157894737,75.3157894737
green-black,28.13395975,27.0357142857,62.6428571429,22.9642857143
green-blue,26.5236588182,55.3181818182,191.590909091,174.318181818
green-brown,35.4912217727,92.0454545455,99.6818181818,48.1363636364
green-yellow,28.4882176667,196.266666667,216.966666667,65.7666666667
green/brown,32.1444336522,94.5652173913,105.086956522,48.5652173913
greenish blue,42.9164312,48.52,170.44,157.88
greenish cyan,38.5568860417,57.9166666667,192.666666667,174.083333333
greenish green,55.6302668462,73.8461538462,180.346153846,52.3461538462
greenish-blue,29.7306623077,37.7307692308,177.615384615,163.807692308
greenish-yellow,26.2750580909,185.318181818,222.0,60.6818181818
grey,36.94441,128.772727273,129.5,131.863636364
intense purple,20.5447341176,169.058823529,18.9411764706,204.176470588
intense violet,29.9217398182,142.575757576,24.6060606061,184.606060606
jasmine,35.1829585,196.558823529,185.0,160.558823529
jonquil,25.7331041667,199.611111111,164.777777778,95.3888888889
lavender,21.2298803684,123.736842105,98.3684210526,196.473684211
light,35.056654,201.0,218.571428571,194.321428571
light blue,38.2877815333,107.333333333,177.0,240.866666667
light brown,44.1672981176,155.294117647,108.235294118,48.5882352941
light colorless,33.9251925862,225.689655172,228.448275862,231.137931034
light green,18.65834128,134.32,218.6,136.24
light orange,36.7541346957,239.695652174,178.695652174,104.304347826
light pink,40.1440378,221.65,163.4,205.85
light purple,22.84266465,197.25,116.7,220.45
light red,152.211307125,229.96875,114.4375,102.40625
light violet,26.5541960476,187.666666667,128.761904762,229.476190476
light yellow,28.8282394545,236.5,223.272727273,136.409090909
light-brown,39.8316291765,164.882352941,124.823529412,84.8823529412
light-purple,25.01890375,172.875,118.333333333,197.833333333
lilac,26.0698584688,170.6875,93.6875,197.4375
magenta,38.633202625,214.0,22.40625,156.125
mauve,41.6817877273,154.863636364,86.9090909091,181.363636364
navy blue,19.0623016957,27.0869565217,37.8260869565,177.695652174
orange,27.8815483125,238.15625,131.75,18.46875
orange brown,27.878966,161.533333333,85.2,12.2
orange red,81.6594618571,217.428571429,81.0,32.4285714286
orange yellow,25.8027037778,214.222222222,169.666666667,34.1666666667
orange-red,31.69176468,235.64,84.92,13.44
orange-yellow,29.0337767727,231.590909091,191.318181818,43.0454545455
pale blue,24.9212203793,127.482758621,192.965517241,223.172413793
pale brown,30.0776281579,168.105263158,125.157894737,78.4210526316
pale green,23.9200899524,146.571428571,194.428571429,124.714285714
pale pink,25.19313875,222.0,174.1,220.05
pale purple,21.321859087,184.130434783,114.739130435,199.130434783
pale red,29.75139232,227.16,138.76,134.32
pale straw,36.12652552,213.4,206.04,155.8
pale violet,20.5861836296,162.259259259,136.0,197.814814815
pale yellow,35.1385506071,232.392857143,229.107142857,143.178571429
pale-yellow,21.38069905,231.35,223.9,158.5
peach,136.067897407,227.814814815,138.148148148,81.0740740741
pink,18.3361544348,226.782608696,85.6956521739,204.304347826
pink-purple,41.1478439444,189.611111111,50.2222222222,178.5
pink-red,25.2380163636,219.818181818,29.1363636364,114.5
pink-violet,22.744869963,198.222222222,79.1111111111,198.037037037
pink/purple,29.4118828095,195.523809524,60.380952381,193.857142857
primrose yellow,41.95674396,208.52,201.32,115.0
purple,23.7789268519,139.407407407,20.1481481481,192.444444444
purple black,60.0206237222,49.6388888889,15.5,59.6666666667
purple red,89.3435556897,183.965517241,46.2413793103,124.931034483
purple-blue,25.2212212917,78.9583333333,34.0416666667,185.291666667
purple-red,26.913858,194.7,37.7,110.95
red,15.0239398261,228.47826087,23.4347826087,21.1304347826
red brown,29.6144403226,132.225806452,53.4193548387,29.3225806452
red purple,46.85772635,185.35,35.1,100.7
red-black,30.5669737778,73.5185185185,19.8518518519,17.962962963
red-brown,27.2994164348,140.826086957,48.1739130435,20.4347826087
red-orange,26.0548754643,213.107142857,76.75,14.9642857143
red-violet,29.6446124643,173.428571429,48.25,114.25
red-yellow,68.6052908462,216.307692308,135.769230769,34.6923076923
red/purple,49.7331632083,178.208333333,22.6666666667,113.875
reddish,20.7529813636,193.681818182,72.4090909091,67.0454545455
reddish brown,100.162156286,137.214285714,49.1428571429,30.8571428571
reddish purple,37.8369650952,173.428571429,38.619047619,125.19047619
rose,27.5373127619,230.952380952,97.7142857143,167.428571429
ruby red,48.6734752857,192.0,23.5,38.3928571429
scarlet,26.6377399412,198.647058824,20.1176470588,42.8823529412
sky blue,23.919418,97.35,186.75,237.1
slightly pink,30.9201658571,223.476190476,147.80952381,204.904761905
straw yellow,36.8679588966,225.620689655,206.75862069,49.5517241379
translucent,28.3885460882,209.676470588,218.294117647,206.882352941
turquoise,24.1182341579,48.1578947368,215.578947368,210.684210526
turquoise blue,25.524004069,57.8620689655,185.0,206.482758621
violet,22.2805194815,132.074074074,28.8888888889,182.518518519
violet red,30.73429388,200.12,31.76,117.6
violet-red,30.4407359583,171.5,23.0,90.7083333333
wheat,25.1316747647,221.529411765,180.058823529,114.176470588
white,26.33554,248.461538462,249.019230769,248.961538462
whiteish colorless,35.1042335172,237.137931034,229.172413793,225.172413793
yellow,23.2763481429,239.964285714,230.107142857,30.5714285714
yellow green,29.7000511429,183.666666667,229.857142857,50.5238095238
yellow-green,26.6211496667,193.0,230.933333333,55.8666666667
yellow-orange,31.7187771739,235.652173913,173.956521739,21.4347826087
yellow-red,33.854783913,219.347826087,110.173913043,38.347826087
yellowish,60.0267719583,229.083333333,223.375,93.9166666667
yellowish green,37.7192364444,180.111111111,217.333333333,69.5185185185
yellowish white,29.2755344839,243.35483871,243.677419355,199.419354839
yellowish yellow,24.2826994348,233.869565217,220.608695652,88.1739130435
