color_string,delta_t_seconds,r,g,b
amaranthine,29.585808,164.5,39.0,127.5
amber,32.768951,219.0,143.0,20.0
aquamarine,15.822536,57.0,186.0,197.0
aubergine,19.3355055,56.0,22.0,88.5
azure,14.9131225,45.0,167.0,225.5
beige,19.4081805,224.0,203.5,166.0
black,17.778786,0.0,0.0,0.0
black brown,32.5767735,62.5,40.5,13.0
black green,15.5325265,11.0,50.0,10.5
black purple,24.398503,50.0,4.0,82.0
black red,22.501557,114.0,4.0,7.0
black-brown,20.1640305,57.0,33.5,10.0
blackish purple,20.822552,55.0,8.0,75.0
blue,19.723303,12.0,26.0,224.0
blue green,28.501285,35.0,213.0,185.0
blue violet,21.333905,97.0,44.0,202.5
bluish violet,27.694391,91.0,45.0,219.0
bright yellow,19.950936,249.5,242.5,9.5
brown,17.611029,91.0,48.0,5.0
brown orange,25.795192,185.0,99.0,12.5
brown yellow,30.764002,168.0,127.0,11.0
brown-red,29.439309,125.0,33.0,10.0
brown-yellow,21.016552,201.0,152.0,19.0
buff,19.40199,159.0,154.0,92.5
cherry red,22.812123,211.0,9.0,20.0
claybank,26.615616,159.0,154.0,95.0
colorless,23.274056,232.0,234.0,244.0
courless,45.100853,232.0,236.0,222.0
crimson,23.292692,159.0,36.0,64.0
cyan,16.905833,43.0,219.0,240.0
dark blue,14.398374,10.0,7.0,99.0
dark brown,17.767184,73.0,36.0,6.0
dark green,14.282838,10.0,87.0,18.0
dark orange,23.6958495,202.5,90.0,4.0
dark pink,19.47902,166.0,19.0,127.0
dark purple,12.422645,67.0,9.0,116.0
dark purplish-red,31.806968,144.0,14.0,60.0
dark red,15.282437,118.0,6.0,2.5
dark rose,23.6160355,144.0,39.5,119.5
dark turquiose,21.925957,9.0,135.0,142.0
dark violet,16.6681615,66.5,12.0,105.0
dark yellow,21.8634895,200.5,169.5,10.5
dark-blue,16.638257,9.0,9.5,115.0
dark-red,20.905013,136.0,3.0,5.0
dark-violet,15.018146,79.0,7.0,111.0
deep blue,12.777674,12.0,8.0,177.0
deep blue-black,22.828687,5.0,9.0,69.0
deep brown,28.3224475,73.0,38.5,4.0
deep green,15.779215,18.0,135.0,32.5
deep purple,16.131803,85.5,4.5,105.5
deep red,15.305251,189.0,4.0,5.0
deep yellow,24.3141445,245.0,214.0,7.5
deep-blue,16.034214,11.0,12.0,157.0
dull dark black,29.3900405,21.0,11.5,19.0
faint pink,16.561546,233.5,193.5,227.0
flavescens,38.976615,223.0,208.0,68.0
glaucous,24.152832,105.0,146.0,159.0
gold,28.790339,238.0,196.0,26.0
golden yellow,21.781796,236.5,202.0,28.5
grass green,15.90159,31.0,168.0,25.5
