CSD refcode,name,DOI,source,cell symmetry,alternative names,elements,modifications,notes
FIQCEN,HKUST-1,10.1126/science.283.5405.1148,CoRE,rhombohedral,"CuBTC,Cu3(BTC)2,MOF-199,BASF BASOLITE C-300","H,C,O,Cu",,first synthesis in 1999
SAHYIK,MOF-5,10.1038/46248,CSD,rhombohedral,IRMOF-1,"H,C,O,Zn",reduced to primitive,first synthesis in 1999
NAVJAW,Co-MOF-74,10.1002/anie.200501508,CoRE,triclinic,"CPO-27,CoDOBDC","H,C,O,Co",,first synthesis in 2005
VOGTIV,Mg-MOF-74,10.1002/ejic.200701284,NAVJAW,triclinic,,"H,C,O,Mg",substituted metal,first synthesis in 2007
ORIWET,Mn-MOF-74,10.1017/S0885715612000863,NAVJAW,triclinic,,"H,C,O,Mn",substituted metal,
WOQVAB,Fe-MOF-74,10.1016/j.micromeso.2011.12.035,NAVJAW,triclinic,,"H,C,O,Fe",substituted metal,
ORIVUI,Ni-MOF-74,10.1017/S0885715612000863,NAVJAW,triclinic,,"H,C,O,Ni",substituted metal,
COKNIB,Cu-MOF-74,10.1039/C4SC02064B,NAVJAW,triclinic,,"H,C,O,Cu",substituted metal,
ORIVOC,Zn-MOF-74,10.1017/S0885715612000863,NAVJAW,triclinic,,"H,C,O,Zn",substituted metal,
OLEYAH,UTSA-74,10.1021/jacs.6b02030,CSD,rhombohedral,,"H,C,O,Zn",reduced to primitive,"isomer of Zn-MOF-75, first synthesis 2016"
SENSAI,BUT-155,10.1021/acsami.7b07920,CSD,tetragonal_ab,,"H,C,O,Cu",fixed symmetry methyls,super-stable Cu paddlewheel
VEJYUF,ZIF-4,10.1073/pnas.0602439103,Raspa,orthorombic,,"H,C,N,Zn",,first synthesis in 2006
VELVOY,ZIF-8,10.1073/pnas.0602439103,Raspa,cubic,BASF BASOLITE Z1200,"H,C,N,Zn",,first synthesis in 2006
RUPRUQ,MIL-125,10.1021/ja903726m,dft-opt,tetragonal_ab,,"H,C,O,Ti",,first synthesis in 2009
RUBTAK,UIO-66,10.1021/ja8057953,CoRE,rhombohedral,,"H,C,O,Zr",added 4 H to have neutrality,first synthesis 2008
