name,primary_amide_sum,secondary_amide_sum,tertiary_amide_sum,ester_sum,carbonyl_sum,logP_sum,MR_sum,dbratio_sum,aromatic_rings_sum,dbonds_sum,abonds_sum,primary_amide_mean,secondary_amide_mean,tertiary_amide_mean,ester_mean,carbonyl_mean,logP_mean,MR_mean,dbratio_mean,aromatic_rings_mean,dbonds_mean,abonds_mean
YIXZEM_clean,0.0,0.0,0.0,1.0,1.0,-0.3692000000000001,46.376000000000005,-0.875,2.0,1.0,11.0,0.0,0.0,0.0,1.0,1.0,-0.3692000000000001,46.376000000000005,-0.875,2.0,1.0,11.0
SERJOP_clean,0.0,0.0,0.0,2.0,2.0,-2.1914000000000002,34.271,-0.8571428571428572,1.0,2.0,6.0,0.0,0.0,0.0,2.0,2.0,-2.1914000000000002,34.271,-0.8571428571428572,1.0,2.0,6.0
WAJLEA_charged,0.0,0.0,0.0,0.0,0.0,0.01678,5.6129999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01678,5.6129999999999995,0.0,0.0,0.0,0.0
ZEDZAL01_clean,0.0,0.0,0.0,3.0,3.0,1.7781000000000025,117.801,-0.967741935483871,4.0,3.0,24.0,0.0,0.0,0.0,3.0,3.0,1.7781000000000025,117.801,-0.967741935483871,4.0,3.0,24.0
NAMDUD_clean,0.0,0.0,0.0,3.0,3.0,1.1787000000000005,114.30900000000001,-0.967741935483871,4.0,3.0,24.0,0.0,0.0,0.0,3.0,3.0,1.1787000000000005,114.30900000000001,-0.967741935483871,4.0,3.0,24.0
TADWEC_manual,0.0,0.0,0.0,4.0,4.0,6.579400000000007,231.29999999999967,-0.9827586206896551,8.0,4.0,46.0,0.0,0.0,0.0,4.0,4.0,6.579400000000007,231.29999999999967,-0.9827586206896551,8.0,4.0,46.0
TOWXEK_clean,0.0,0.0,0.0,2.0,3.0,3.3587000000000025,151.03349999999998,-0.9705882352941176,4.0,3.0,24.0,0.0,0.0,0.0,2.0,3.0,3.3587000000000025,151.03349999999998,-0.9705882352941176,4.0,3.0,24.0
WEXQUL_clean,0.0,0.0,0.0,0.0,0.0,0.3859999999999999,9.666,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3859999999999999,9.666,0.0,0.0,1.0,0.0
TOPKIT_clean,0.0,0.0,0.0,12.0,12.0,-4.421399999999998,336.40200000000027,-0.9818181818181818,6.0,12.0,36.0,0.0,0.0,0.0,12.0,12.0,-4.421399999999998,336.40200000000027,-0.9818181818181818,6.0,12.0,36.0
SEFNIB_charged,0.0,0.0,0.0,2.0,2.0,-1.2055000000000002,88.876,-0.6666666666666667,0.0,6.0,0.0,0.0,0.0,0.0,2.0,2.0,-1.2055000000000002,88.876,-0.6666666666666667,0.0,6.0,0.0
TIQHIL_clean,0.0,0.0,0.0,0.0,0.0,2.610600000000001,70.035,-0.9,2.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,2.610600000000001,70.035,-0.9,2.0,0.0,12.0
DIVNAY_clean,0.0,0.0,0.0,1.0,1.0,-2.1849000000000003,9.943499999999998,-0.25,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-2.1849000000000003,9.943499999999998,-0.25,0.0,1.0,0.0
NIJSAC_clean,0.0,0.0,0.0,1.0,1.0,-1.634533333333333,59.24909999999999,-0.7444444444444445,0.6666666666666666,2.6666666666666665,3.6666666666666665,0.0,0.0,0.0,1.0,1.0,-1.634533333333333,59.24909999999999,-0.7444444444444445,0.6666666666666666,2.6666666666666665,3.6666666666666665
KAHNOX_clean,0.0,0.0,0.0,0.0,0.0,0.01678,5.6129999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01678,5.6129999999999995,0.0,0.0,0.0,0.0
TAKGOE_clean,0.0,0.0,0.0,1.0,1.0,1.1121,54.69000000000001,-0.9230769230769231,2.0,1.0,12.0,0.0,0.0,0.0,1.0,1.0,1.1121,54.69000000000001,-0.9230769230769231,2.0,1.0,12.0
RUYNIK_clean,0.0,0.0,0.0,1.5,1.5,-0.038349999999999884,57.36315000000002,-0.8020833333333334,1.0,5.5,6.0,0.0,0.0,0.0,1.5,1.5,-0.038349999999999884,57.36315000000002,-0.8020833333333334,1.0,5.5,6.0
LOJFOF_clean,0.0,0.0,0.0,4.0,4.0,1.5657000000000005,213.98859999999974,-0.9056603773584906,8.0,8.0,44.0,0.0,0.0,0.0,4.0,4.0,1.5657000000000005,213.98859999999974,-0.9056603773584906,8.0,8.0,44.0
ic5029383_si_002_clean,0.0,0.0,0.0,2.0,2.0,0.04809999999999981,65.83870000000002,-0.9375,3.0,2.0,15.0,0.0,0.0,0.0,2.0,2.0,0.04809999999999981,65.83870000000002,-0.9375,3.0,2.0,15.0
IWAYEK_clean,0.0,0.0,0.0,2.0,1.0,-2.447,6.768999999999999,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,-2.447,6.768999999999999,0.0,0.0,1.0,0.0
LUSYEF_clean,0.0,0.0,0.0,4.0,4.0,-0.37219999999999853,114.88800000000002,-0.9666666666666667,4.0,4.0,23.0,0.0,0.0,0.0,4.0,4.0,-0.37219999999999853,114.88800000000002,-0.9666666666666667,4.0,4.0,23.0
XIYYEL_clean,0.0,0.0,0.0,2.0,2.0,-3.5138000000000003,11.386999999999999,-0.5,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,-3.5138000000000003,11.386999999999999,-0.5,0.0,2.0,0.0
ZELROZ_manual,0.0,0.0,0.0,2.0,2.0,-0.5082000000000004,65.95800000000001,-0.9375,2.0,2.0,12.0,0.0,0.0,0.0,2.0,2.0,-0.5082000000000004,65.95800000000001,-0.9375,2.0,2.0,12.0
HULRIR_clean,0.0,0.0,0.0,1.0,1.0,-0.9020666666666668,39.22033333333332,-0.7761904761904762,1.0,2.3333333333333335,5.333333333333333,0.0,0.0,0.0,1.0,1.0,-0.9020666666666668,39.22033333333332,-0.7761904761904762,1.0,2.3333333333333335,5.333333333333333
ja5b02999_si_003_clean,0.0,0.0,0.0,0.0,0.0,1.3033999999999981,238.87199999999967,-0.9056603773584906,12.0,4.0,64.0,0.0,0.0,0.0,0.0,0.0,1.3033999999999981,238.87199999999967,-0.9056603773584906,12.0,4.0,64.0
XEXMAQ_clean,0.0,0.0,2.0,2.0,4.0,-0.9361000000000002,92.33599999999998,-0.95,4.0,4.0,21.0,0.0,0.0,2.0,2.0,4.0,-0.9361000000000002,92.33599999999998,-0.95,4.0,4.0,21.0
KAHYEY_clean,0.0,0.0,0.0,1.0,1.0,-1.5639000000000003,10.526499999999999,-0.25,0.0,1.5,0.0,0.0,0.0,0.0,1.0,1.0,-1.5639000000000003,10.526499999999999,-0.25,0.0,1.5,0.0
NETFAU_clean,0.0,0.0,0.0,0.5,0.5,-0.41736000000000006,18.814000000000004,-0.4,0.5,0.5,3.0,0.0,0.0,0.0,0.5,0.5,-0.41736000000000006,18.814000000000004,-0.4,0.5,0.5,3.0
XIWKUJ_clean,0.0,0.0,0.0,0.0,0.0,0.3859999999999999,9.666,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3859999999999999,9.666,0.0,0.0,1.0,0.0
DEPSEW_clean,0.0,0.0,0.0,0.0,0.0,0.3859999999999999,9.666,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3859999999999999,9.666,0.0,0.0,1.0,0.0
KUJMEJ_clean,0.0,0.0,0.0,3.0,3.0,-3.2229,41.493,-0.9,1.0,3.0,6.0,0.0,0.0,0.0,3.0,3.0,-3.2229,41.493,-0.9,1.0,3.0,6.0
XADDOX_clean,0.0,0.0,0.0,2.0,2.0,-1.5864,36.476,-0.8888888888888888,1.0,2.0,6.0,0.0,0.0,0.0,2.0,2.0,-1.5864,36.476,-0.8888888888888888,1.0,2.0,6.0
CEGWER_clean,0.0,0.0,0.0,6.0,6.0,-3.1390000000000007,97.2578,-0.9230769230769231,0.0,8.0,0.0,0.0,0.0,0.0,6.0,6.0,-3.1390000000000007,97.2578,-0.9230769230769231,0.0,8.0,0.0
CUQXUI_clean,0.0,0.0,0.0,0.0,0.0,1.5599999999999994,54.478,-0.8333333333333334,2.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.5599999999999994,54.478,-0.8333333333333334,2.0,0.0,10.0
EXAXAE01_clean,0.0,0.0,0.0,2.0,2.0,-2.1914000000000002,34.271,-0.8571428571428572,1.0,2.0,6.0,0.0,0.0,0.0,2.0,2.0,-2.1914000000000002,34.271,-0.8571428571428572,1.0,2.0,6.0
AGUTUS_clean,0.0,0.0,0.0,0.0,0.0,-0.8190000000000001,30.84,0.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,-0.8190000000000001,30.84,0.0,2.0,0.0,10.0
FEJDEE_clean,0.0,0.0,0.0,0.0,0.0,0.23709999999999992,10.374500000000001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23709999999999992,10.374500000000001,0.0,0.0,1.0,0.0
SOTTUR_clean,0.0,0.0,0.0,0.0,0.0,0.9313999999999998,60.2344,-0.6666666666666667,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9313999999999998,60.2344,-0.6666666666666667,0.0,2.0,0.0
XEKMIL_clean,0.0,0.0,0.0,2.0,2.0,-3.03435,22.487350000000003,-0.65,0.5,2.0,2.5,0.0,0.0,0.0,2.0,2.0,-3.03435,22.487350000000003,-0.65,0.5,2.0,2.5
LUSHIR_clean,0.0,0.0,0.0,1.0,1.0,0.3120999999999997,45.339,-0.8944444444444444,1.5,1.0,9.0,0.0,0.0,0.0,1.0,1.0,0.3120999999999997,45.339,-0.8944444444444444,1.5,1.0,9.0
AQOMEA_clean,0.0,0.0,0.0,0.0,0.0,-1.4289000000000005,85.74449999999999,-0.9230769230769231,2.5,3.0,13.5,0.0,0.0,0.0,0.0,0.0,-1.4289000000000005,85.74449999999999,-0.9230769230769231,2.5,3.0,13.5
YAJZIV_clean,0.0,0.0,0.0,3.0,3.0,-3.0228999999999995,49.40950000000001,-0.9,1.0,3.0,6.0,0.0,0.0,0.0,3.0,3.0,-3.0228999999999995,49.40950000000001,-0.9,1.0,3.0,6.0
FIFNUE01_clean,0.0,0.0,0.0,0.5,0.5,0.5728000000000001,27.303750000000004,-0.45,1.0,0.5,6.0,0.0,0.0,0.0,0.5,0.5,0.5728000000000001,27.303750000000004,-0.45,1.0,0.5,6.0
MINCIX_clean,0.0,0.0,0.0,3.0,3.0,0.2367000000000008,94.01100000000002,-0.96,4.0,3.0,21.0,0.0,0.0,0.0,3.0,3.0,0.2367000000000008,94.01100000000002,-0.96,4.0,3.0,21.0
jz4002345_si_005_clean,0.0,0.0,0.0,2.0,2.0,-1.5864,36.476,-0.8888888888888888,1.0,2.0,6.0,0.0,0.0,0.0,2.0,2.0,-1.5864,36.476,-0.8888888888888888,1.0,2.0,6.0
FIFPAM_clean,0.0,0.0,0.0,0.5,0.5,0.5728000000000001,27.303750000000004,-0.45,1.0,0.5,6.0,0.0,0.0,0.0,0.5,0.5,0.5728000000000001,27.303750000000004,-0.45,1.0,0.5,6.0
SEHSII_clean,0.0,0.0,0.0,3.0,3.0,-3.2229,41.493,-0.9,1.0,3.0,6.0,0.0,0.0,0.0,3.0,3.0,-3.2229,41.493,-0.9,1.0,3.0,6.0
SOQHIR01_clean,0.0,0.0,0.0,4.0,4.0,-4.3911999999999995,64.962,-0.9444444444444444,2.0,4.0,12.0,0.0,0.0,0.0,4.0,4.0,-4.3911999999999995,64.962,-0.9444444444444444,2.0,4.0,12.0
FALQIU_clean,0.0,0.0,0.0,2.0,2.0,-2.7563000000000004,33.4167,-0.8,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,-2.7563000000000004,33.4167,-0.8,0.0,2.0,0.0
POLBEX_clean,0.0,0.0,0.0,0.0,0.0,0.3859999999999999,9.666,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3859999999999999,9.666,0.0,0.0,1.0,0.0
LUXFUG_clean,0.0,0.0,0.0,2.0,2.0,-3.9958,32.178,-0.75,0.5,3.0,2.5,0.0,0.0,0.0,2.0,2.0,-3.9958,32.178,-0.75,0.5,3.0,2.5
BAKJII_clean,0.0,0.0,0.0,2.0,2.0,-0.5244000000000002,59.707000000000015,-0.9285714285714286,2.0,2.0,12.0,0.0,0.0,0.0,2.0,2.0,-0.5244000000000002,59.707000000000015,-0.9285714285714286,2.0,2.0,12.0
KEFWEZ_charged,0.0,0.0,0.0,2.0,2.0,-1.9934,28.741999999999994,-0.8333333333333334,1.0,2.0,5.0,0.0,0.0,0.0,2.0,2.0,-1.9934,28.741999999999994,-0.8333333333333334,1.0,2.0,5.0
SARTIR_clean,0.0,0.0,0.0,2.0,2.0,-0.43320000000000025,53.982000000000006,-0.9285714285714286,2.0,2.0,11.0,0.0,0.0,0.0,2.0,2.0,-0.43320000000000025,53.982000000000006,-0.9285714285714286,2.0,2.0,11.0
IHERIY_clean,0.0,0.0,0.0,2.0,2.0,-0.030599999999999294,67.23850000000002,-0.8872549019607843,2.0,2.5,12.0,0.0,0.0,0.0,2.0,2.0,-0.030599999999999294,67.23850000000002,-0.8872549019607843,2.0,2.5,12.0
